group,erat_mean,erat_sd,ehat_mean,ehat_sd,n
GC,0.001889307027702175,0.0022956346379617606,0.34588376297178913,0.14131698004364668,120
G2,0.14413225668587787,0.0003601719255073966,0.4212341991973257,0.16442982820168847,110
G5,0.35782523766500507,0.001103692924498637,0.42297469352126515,0.16312238927406275,121
G7,0.5002333756085815,0.001377108773188962,0.41410063683718773,0.14886626520335505,110
G14,0.9994113473131896,0.0005401210088678835,0.46590511299849235,0.17213378512949207,110
