,GC,G2,G5,G7,G14
GC,1.0,0.0007760008507609915,4.118154266270308e-05,0.015249538645696496,5.1367847076970194e-11
G2,0.0007760008507609915,1.0,0.7783552382992351,0.7783552382992351,0.01638287258958722
G5,4.118154266270308e-05,0.7783552382992351,1.0,0.43462278836493795,0.05986104423529305
G7,0.015249538645696496,0.7783552382992351,0.43462278836493795,1.0,0.0010062152542239585
G14,5.1367847076970194e-11,0.01638287258958722,0.05986104423529305,0.0010062152542239585,1.0
