Type,Description,ICC,F,df1,df2,pval,CI95%
ICC1,Single raters absolute,0.15578773418679429,1.3690724252548698,570,571,9.11182020451377e-05,[0.07 0.23]
ICC2,Single random raters,0.156349252370418,1.371234602191377,570,570,8.51857695076244e-05,[0.08 0.24]
ICC3,Single fixed raters,0.15655751727319625,1.371234602191377,570,570,8.51857695076244e-05,[0.08 0.24]
ICC1k,Average raters absolute,0.269578452130582,1.3690724252548698,570,571,9.11182020451377e-05,[0.14 0.38]
ICC2k,Average random raters,0.27041873733202193,1.371234602191377,570,570,8.51857695076244e-05,[0.14 0.38]
ICC3k,Average fixed raters,0.27073018839964014,1.371234602191377,570,570,8.51857695076244e-05,[0.14 0.38]
