fold,n_test,mae_days,rmse_days,r2
1,115,1.715882,2.042949,0.838796
2,114,1.592796,1.891945,0.833193
3,114,1.523748,1.831845,0.858451
4,114,1.714399,2.079468,0.794598
5,114,1.382548,1.704267,0.874826
