fold,n_test,balanced_accuracy,weighted_kappa_quadratic,mae_days
1,115,0.923061,0.881413,0.434783
2,114,0.921212,0.955906,0.263158
3,114,0.939394,0.936234,0.27193
4,114,0.973485,0.986838,0.078947
5,114,0.957576,0.965055,0.157895
