fold,n_test,balanced_accuracy,weighted_kappa_quadratic,mae_days
1,115,0.745606,0.739121,1.173913
2,114,0.80303,0.875696,0.684211
3,114,0.833333,0.906191,0.526316
4,114,0.831818,0.878878,0.596491
5,114,0.823485,0.883298,0.631579
