fold,n_test,mae_days,rmse_days,r2
1,115,4.09435,4.951076,0.053194
2,114,3.984397,4.81898,-0.082199
3,114,3.770058,4.732546,0.055249
4,114,3.503427,4.36547,0.094764
5,114,3.851914,4.75308,0.026378
