,GC,G2,G5,G7,G14
GC,1.0,0.000776,4.1e-05,0.015253,0.0
G2,0.000776,1.0,0.778375,0.778375,0.016386
G5,4.1e-05,0.778375,1.0,0.434648,0.059869
G7,0.015253,0.778375,0.434648,1.0,0.001007
G14,0.0,0.016386,0.059869,0.001007,1.0
