fold,n_test,balanced_accuracy,weighted_kappa_quadratic,mae_days
1,115,0.290697,0.225749,4.408696
2,114,0.268939,0.089701,5.04386
3,114,0.268939,0.33382,4.403509
4,114,0.255303,0.183732,4.77193
5,114,0.314394,0.260603,4.210526
