pct_contractile_area,pct_contractile_area_norm,ehat_norm,group,days_post_btx
0.48445557,0.6080900750797067,0.3919099249202933,GC,0
0.40746436,0.49497715416418553,0.5050228458358145,GC,0
0.36417034000000004,0.4313710222385411,0.5686289777614588,GC,0
0.61226554,0.7958642252563974,0.20413577474360256,GC,0
0.6765173299999999,0.8902608146975904,0.10973918530240956,GC,0
0.6413823200000001,0.8386416284619665,0.16135837153803345,GC,0
0.58751286,0.7594984123890949,0.24050158761090512,GC,0
0.48369031999999995,0.6069657952725623,0.39303420472743766,GC,0
0.59509991,0.7706450535008802,0.2293549464991198,GC,0
0.481852,0.6042649967687148,0.3957350032312852,GC,0
0.44605275,0.5516699312529894,0.44833006874701065,GC,0
0.5507622,0.7055055669957933,0.29449443300420675,GC,0
0.54722865,0.7003141930493254,0.2996858069506746,GC,0
0.52969171,0.6745495050112982,0.3254504949887018,GC,0
0.5184338275,0.6580097990773516,0.3419902009226484,GC,0
0.27883238,0.3059953342792024,0.6940046657207977,GC,0
0.45359832,0.5627556313306025,0.43724436866939753,GC,0
0.46599997000000004,0.5809757223730991,0.41902427762690087,GC,0
0.43386901,0.5337699863232335,0.46623001367676653,GC,0
0.40426165,0.49027183932440893,0.509728160675591,GC,0
0.39129379999999997,0.471219906103794,0.528780093896206,GC,0
0.51044703,0.6462758622553977,0.3537241377446023,GC,0
0.51608681,0.6545616391527985,0.3454383608472015,GC,0
0.54773532,0.7010585757345731,0.2989414242654269,GC,0
0.19876468,0.18836253674312425,0.8116374632568757,GC,0
0.58767083,0.7597304966506231,0.2402695033493769,GC,0
0.6291952,0.8207367177488087,0.17926328225119126,GC,0
0.5302513600000001,0.6753717241476175,0.3246282758523825,GC,0
0.44674815,0.5526915897670542,0.44730841023294576,GC,0
0.5173376900000001,0.6563993903780984,0.34360060962190164,GC,0
0.42718058,0.523943567779623,0.47605643222037697,GC,0
0.40719188,0.4945768356253411,0.505423164374659,GC,0
0.74293926,0.9878457015326758,0.012154298467324187,GC,0
0.5235663,0.665550256695742,0.33444974330425803,GC,0
0.48284270999999995,0.6057205148970857,0.39427948510291433,GC,0
0.3741762,0.4460712984242482,0.5539287015757518,GC,0
0.38282441,0.45877696045749616,0.5412230395425038,GC,0
0.56834657,0.7313399376097798,0.2686600623902202,GC,0
0.43170999000000004,0.5305980260628995,0.4694019739371005,GC,0
0.46197741999999997,0.5750659259167409,0.4249340740832591,GC,0
0.39997079,0.4839678507542908,0.5160321492457092,GC,0
0.39997079,0.4839678507542908,0.5160321492457092,GC,0
0.32010035000000003,0.366624861038869,0.6333751389611311,GC,0
0.48910623999999997,0.6149226845154355,0.3850773154845645,GC,0
0.57655857,0.7434047344425385,0.2565952655574615,GC,0
0.43609591000000003,0.5370416736182737,0.4629583263817263,GC,0
0.62596609,0.8159926169084984,0.18400738309150155,GC,0
0.531031,0.676517145263386,0.323482854736614,GC,0
0.531031,0.676517145263386,0.323482854736614,GC,0
0.531031,0.676517145263386,0.323482854736614,GC,0
0.6562857200000001,0.8605372072633957,0.13946279273660434,GC,0
0.60131879,0.7797816248266604,0.22021837517333964,GC,0
0.53634104,0.6843184791374511,0.31568152086254886,GC,0
0.5759768900000001,0.7425501495641071,0.25744985043589286,GC,0
0.56630285,0.7283373722684445,0.2716626277315555,GC,0
0.45614275,0.5664938231237316,0.43350617687626836,GC,0
0.15034766,0.11722986388053111,0.8827701361194689,GC,0
0.40925722999999997,0.4976111790421138,0.5023888209578862,GC,0
0.38461311000000004,0.4614048589103403,0.5385951410896597,GC,0
0.4755839,0.5950561130586058,0.40494388694139416,GC,0
0.61312824,0.7971316753571793,0.20286832464282067,GC,0
0.5436774400000001,0.695096873619167,0.30490312638083295,GC,0
0.50760868,0.6421058529896573,0.3578941470103427,GC,0
0.5548047866666668,0.7114448006553347,0.28855519934466534,GC,0
0.5548047866666668,0.7114448006553347,0.28855519934466534,GC,0
0.61564588,0.8008305081747666,0.19916949182523336,GC,0
0.59689576,0.7732834564955355,0.22671654350446446,GC,0
0.67897762,0.8938753908056845,0.10612460919431554,GC,0
0.6853850300000001,0.9032889441269445,0.09671105587305551,GC,0
0.6442260725,0.8428195749007328,0.15718042509926722,GC,0
0.5157836434984986,0.654116237028211,0.345883762971789,GC,0
0.5157836434984986,0.654116237028211,0.345883762971789,GC,0
0.5157836434984986,0.654116237028211,0.345883762971789,GC,0
0.5157836434984986,0.654116237028211,0.345883762971789,GC,0
0.5157836434984986,0.654116237028211,0.345883762971789,GC,0
0.56908484,0.7324245792997117,0.2675754207002883,GC,0
0.57001442,0.733790287268513,0.26620971273148697,GC,0
0.5073495,0.6417250743677485,0.3582749256322515,GC,0
0.5634391,0.7241300461688569,0.2758699538311431,GC,0
0.58529926,0.7562462650109902,0.24375373498900976,GC,0
0.38440691,0.461101916739503,0.538898083260497,GC,0
0.61354579,0.7977451259072912,0.20225487409270881,GC,0
0.38053758000000004,0.4554172260029105,0.5445827739970894,GC,0
0.47978725,0.6012315348519541,0.39876846514804587,GC,0
0.53311729,0.6795822530305823,0.3204177469694177,GC,0
0.5399388900000001,0.6896043205018862,0.31039567949811375,GC,0
0.5157836434984985,0.6541162370282109,0.34588376297178913,GC,0
0.5157836434984985,0.6541162370282109,0.34588376297178913,GC,0
0.5157836434984985,0.6541162370282109,0.34588376297178913,GC,0
0.5157836434984985,0.6541162370282109,0.34588376297178913,GC,0
0.72255504,0.9578978845703943,0.042102115429605735,GC,0
0.52854442,0.6728639447630936,0.32713605523690636,GC,0
