erat_norm,ehat_norm,group,days_post_btx,erat_days_pred,pct_contractile_area
0.0016032325259690556,0.3919099249202933,GC,0,0.00071517632094821,0.48445557
0.0014635129278222354,0.5050228458358145,GC,0,-0.0012450637702340697,0.40746436
0.0015897370835871194,0.5686289777614588,GC,0,0.0005258377631782894,0.36417034000000004
0.0018112325894111027,0.20413577474360256,GC,0,0.003633378697246968,0.61226554
0.0013119329753659202,0.10973918530240956,GC,0,-0.0033717024362867674,0.6765173299999999
0.0014944805200524628,0.16135837153803345,GC,0,-0.0008105941852780107,0.6413823200000001
0.001608636279353339,0.24050158761090512,GC,0,0.000790989980357702,0.58751286
0.0015318731170015213,0.39303420472743766,GC,0,-0.0002859829737861081,0.48369031999999995
0.0013770464763140204,0.2293549464991198,GC,0,-0.0024581720745577244,0.59509991
0.001926377371714465,0.3957350032312852,GC,0,0.005248838672477676,0.481852
0.002014599825973234,0.44833006874701065,GC,0,0.0064865833702459005,0.44605275
0.0013879410840216839,0.29449443300420675,GC,0,-0.0023053227456910326,0.5507622
0.0014695387628666041,0.2996858069506746,GC,0,-0.0011605224203197165,0.54722865
0.0021892896541540726,0.3254504949887018,GC,0,0.008937449313633366,0.52969171
0.000967330442439501,0.3419902009226484,GC,0,-0.008206412165808717,0.5184338275
0.0012860417675147815,0.6940046657207977,GC,0,-0.0037349512883597846,0.27883238
0.0015755220135043376,0.43724436866939753,GC,0,0.0003264029620135085,0.45359832
0.0014791931557427494,0.41902427762690087,GC,0,-0.001025073075898059,0.46599997000000004
0.0017346851644791683,0.46623001367676653,GC,0,0.0025594324991576605,0.43386901
0.0017176090085046258,0.509728160675591,GC,0,0.0023198571926970318,0.40426165
0.0014511288568648188,0.528780093896206,GC,0,-0.0014188099927021905,0.39129379999999997
0.0018746850737448096,0.3537241377446023,GC,0,0.004523605303433917,0.51044703
0.0014804559940215535,0.3454383608472015,GC,0,-0.0010073556886766172,0.51608681
0.0015124062324404514,0.2989414242654269,GC,0,-0.0005590997596426453,0.54773532
0.001393415547999724,0.8116374632568757,GC,0,-0.002228517029744073,0.19876468
0.002033859743154098,0.2402695033493769,GC,0,0.006756796442080729,0.58767083
0.0011254947490238016,0.17926328225119126,GC,0,-0.005987396230515267,0.6291952
0.0018748721267429706,0.3246282758523825,GC,0,0.004526229622362931,0.5302513600000001
0.0011552504329003963,0.44730841023294576,GC,0,-0.005569929495360799,0.44674815
0.0018666810595228164,0.34360060962190164,GC,0,0.004411310465941918,0.5173376900000001
0.0022750381786911028,0.47605643222037697,GC,0,0.010140485235484385,0.42718058
0.0020566408621579386,0.505423164374659,GC,0,0.007076411323497702,0.40719188
0.0010477539924815572,0.012154298467324187,GC,0,-0.0070780846501370676,0.74293926
0.0009130309658242098,0.33444974330425803,GC,0,-0.008968223768499265,0.5235663
0.002573390594039562,0.39427948510291433,GC,0,0.014326314379170816,0.48284270999999995
0.0019443200767711194,0.5539287015757518,GC,0,0.005500571502108017,0.3741762
0.0014762201016135926,0.5412230395425038,GC,0,-0.001066784474832257,0.38282441
0.0016148887938383838,0.2686600623902202,GC,0,0.0008787116008522277,0.56834657
0.0010580809221609729,0.4694019739371005,GC,0,-0.00693319973889406,0.43170999000000004
0.002351316297003681,0.4249340740832591,GC,0,0.011210653111569597,0.46197741999999997
0.0015862027698879805,0.5160321492457092,GC,0,0.00047625199640141625,0.39997079
0.0016181474108448075,0.5160321492457092,GC,0,0.0009244293940789711,0.39997079
0.001387757554984739,0.6333751389611311,GC,0,-0.0023078976240966855,0.32010035000000003
0.001805159170913185,0.3850773154845645,GC,0,0.0035481697602899927,0.48910623999999997
0.001630548827228339,0.2565952655574615,GC,0,0.0010984189696637678,0.57655857
0.0017364728763294881,0.4629583263817263,GC,0,0.0025845137654006097,0.43609591000000003
0.001918187434621926,0.18400738309150155,GC,0,0.0051339353715378466,0.62596609
0.001232870367813287,0.323482854736614,GC,0,-0.004480936180827206,0.531031
0.0013002015310390079,0.323482854736614,GC,0,-0.0035362924279708375,0.531031
0.002017940115112304,0.323482854736614,GC,0,0.006533447008371065,0.531031
0.0020261037876910743,0.13946279273660434,GC,0,0.006647981823045918,0.6562857200000001
0.00218675485302467,0.22021837517333964,GC,0,0.008901886523137734,0.60131879
0.0014600246252800212,0.31568152086254886,GC,0,-0.0012940040089988267,0.53634104
0.0008184661770501426,0.25744985043589286,GC,0,-0.010294950245155176,0.5759768900000001
0.0021961613148237377,0.2716626277315555,GC,0,0.00903385744045551,0.56630285
0.0013759203276250394,0.43350617687626836,GC,0,-0.002473971732143723,0.45614275
0.0010553156818562943,0.8827701361194689,GC,0,-0.0069719955483501395,0.15034766
0.0015971027772740398,0.5023888209578862,GC,0,0.0006291770817561828,0.40925722999999997
0.0018403671292101468,0.5385951410896597,GC,0,0.004042130896005938,0.38461311000000004
0.0016258671165475466,0.40494388694139416,GC,0,0.0010327354356890865,0.4755839
0.0011497944598318332,0.20286832464282067,GC,0,-0.005646475787271612,0.61312824
0.001895202236058179,0.30490312638083295,GC,0,0.0048114572916832556,0.5436774400000001
0.0017575693042970306,0.3578941470103427,GC,0,0.002880492743519773,0.50760868
0.0,0.28855519934466534,GC,0,-0.0217778791599983,0.5548047866666668
0.002229771330720726,0.28855519934466534,GC,0,0.009505399740178696,0.5548047866666668
0.0014243479577214738,0.19916949182523336,GC,0,-0.0017945410488674751,0.61564588
0.003005361425038635,0.22671654350446446,GC,0,0.02038678515332742,0.59689576
0.001089769275026718,0.10612460919431554,GC,0,-0.006488618015679464,0.67897762
